[2024-01-15 11:04] Type: manual, Device: MODULE_01, Output: 4, Status: watering, Duration: 10 s, Send startWater at: Mon Jan 15 2024 11:04:02 GMT+0100 (Central European Standard Time), 
[2024-01-15 11:04] Type: manual, Device: MODULE_01, Output: 4, Status: stopped, 
[2024-01-15 20:21] Type: manual, Device: MODULE_01, Output: 9, Status: watering, Duration: 20 s, Send startWater at: Mon Jan 15 2024 20:21:57 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 9, Status: done, Duration: 20 s, Send startWater at: Mon Jan 15 2024 20:21:57 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 8, Status: watering, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:03 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 8, Status: done, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:03 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 6, Status: watering, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:06 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 6, Status: done, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:06 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 5, Status: watering, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:08 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 5, Status: done, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:08 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 4, Status: watering, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:09 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 4, Status: done, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:09 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:22] Type: manual, Device: MODULE_01, Output: 3, Status: watering, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:11 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:23] Type: manual, Device: MODULE_01, Output: 3, Status: done, Duration: 10 s, Send startWater at: Mon Jan 15 2024 20:22:11 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:23] Type: manual, Device: MODULE_01, Output: 1, Status: watering, Duration: 100 s, Send startWater at: Mon Jan 15 2024 20:22:15 GMT+0100 (Central European Standard Time), 
[2024-01-15 20:24] Type: manual, Device: MODULE_01, Output: 1, Status: done, Duration: 100 s, Send startWater at: Mon Jan 15 2024 20:22:15 GMT+0100 (Central European Standard Time), 
