[2024-01-18 16:09] Type: manual, Device: MODULE_01, Output: 3, Status: watering, Duration: 10 s, Send startWater at: Thu Jan 18 2024 16:09:28 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:09] Type: manual, Device: MODULE_01, Output: 3, Status: done, Duration: 10 s, Send startWater at: Thu Jan 18 2024 16:09:28 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:09] Type: manual, Device: MODULE_01, Output: 4, Status: watering, Duration: 10 s, Send startWater at: Thu Jan 18 2024 16:09:29 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:09] Type: manual, Device: MODULE_01, Output: 4, Status: done, Duration: 10 s, Send startWater at: Thu Jan 18 2024 16:09:29 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:09] Type: manual, Device: MODULE_01, Output: 5, Status: watering, Duration: 100 s, Send startWater at: Thu Jan 18 2024 16:09:34 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:11] Type: manual, Device: MODULE_01, Output: 5, Status: done, Duration: 100 s, Send startWater at: Thu Jan 18 2024 16:09:34 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:11] Type: manual, Device: MODULE_01, Output: 6, Status: watering, Duration: 100 s, Send startWater at: Thu Jan 18 2024 16:09:39 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:13] Type: manual, Device: MODULE_01, Output: 6, Status: done, Duration: 100 s, Send startWater at: Thu Jan 18 2024 16:09:39 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:13] Type: manual, Device: MODULE_01, Output: 8, Status: watering, Duration: 100 s, Send startWater at: Thu Jan 18 2024 16:09:44 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:14] Type: manual, Device: MODULE_01, Output: 8, Status: done, Duration: 100 s, Send startWater at: Thu Jan 18 2024 16:09:44 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:14] Type: manual, Device: MODULE_01, Output: 9, Status: watering, Duration: 200 s, Send startWater at: Thu Jan 18 2024 16:09:47 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:18] Type: manual, Device: MODULE_01, Output: 9, Status: done, Duration: 200 s, Send startWater at: Thu Jan 18 2024 16:09:47 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:18] Type: manual, Device: MODULE_01, Output: 9, Status: watering, Duration: 200 s, Send startWater at: Thu Jan 18 2024 16:18:28 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:18] Type: manual, Device: MODULE_01, Output: 9, Status: stopped, 
[2024-01-18 16:18] Type: manual, Device: MODULE_01, Output: 9, Status: watering, Duration: 20 s, Send startWater at: Thu Jan 18 2024 16:18:50 GMT+0100 (Central European Standard Time), 
[2024-01-18 16:19] Type: manual, Device: MODULE_01, Output: 9, Status: done, Duration: 20 s, Send startWater at: Thu Jan 18 2024 16:18:50 GMT+0100 (Central European Standard Time), 
