[2024-01-21 17:22] Type: manual, Device: MODULE_01, Output: 9, Status: watering, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:22:56 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:24] Type: manual, Device: MODULE_01, Output: 9, Status: done, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:22:56 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:27] Type: manual, Device: MODULE_01, Output: 8, Status: watering, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:27:55 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:29] Type: manual, Device: MODULE_01, Output: 8, Status: done, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:27:55 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:29] Type: manual, Device: MODULE_01, Output: 6, Status: watering, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:27:59 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:31] Type: manual, Device: MODULE_01, Output: 6, Status: done, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:27:59 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:31] Type: manual, Device: MODULE_01, Output: 5, Status: watering, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:28:03 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:32] Type: manual, Device: MODULE_01, Output: 5, Status: done, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:28:03 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:32] Type: manual, Device: MODULE_01, Output: 4, Status: watering, Duration: 10 s, Send startWater at: Sun Jan 21 2024 17:28:06 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:33] Type: manual, Device: MODULE_01, Output: 4, Status: done, Duration: 10 s, Send startWater at: Sun Jan 21 2024 17:28:06 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:33] Type: manual, Device: MODULE_01, Output: 1, Status: watering, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:28:17 GMT+0100 (Central European Standard Time), 
[2024-01-21 17:34] Type: manual, Device: MODULE_01, Output: 1, Status: done, Duration: 100 s, Send startWater at: Sun Jan 21 2024 17:28:17 GMT+0100 (Central European Standard Time), 
