[2024-01-24 23:30] Type: manual, Device: MODULE_01, Output: 9, Status: watering, Duration: 150 s, Send startWater at: Wed Jan 24 2024 23:30:36 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:31] Type: manual, Device: MODULE_01, Output: 4, Status: aborted, 
[2024-01-24 23:33] Type: manual, Device: MODULE_01, Output: 9, Status: done, Duration: 150 s, Send startWater at: Wed Jan 24 2024 23:30:36 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:33] Type: manual, Device: MODULE_01, Output: 8, Status: watering, Duration: 50 s, Send startWater at: Wed Jan 24 2024 23:30:47 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:33] Type: manual, Device: MODULE_01, Output: 8, Status: done, Duration: 50 s, Send startWater at: Wed Jan 24 2024 23:30:47 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:33] Type: manual, Device: MODULE_01, Output: 6, Status: watering, Duration: 100 s, Send startWater at: Wed Jan 24 2024 23:30:52 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:35] Type: manual, Device: MODULE_01, Output: 6, Status: done, Duration: 100 s, Send startWater at: Wed Jan 24 2024 23:30:52 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:35] Type: manual, Device: MODULE_01, Output: 5, Status: watering, Duration: 100 s, Send startWater at: Wed Jan 24 2024 23:30:57 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:37] Type: manual, Device: MODULE_01, Output: 5, Status: done, Duration: 100 s, Send startWater at: Wed Jan 24 2024 23:30:57 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:37] Type: manual, Device: MODULE_01, Output: 4, Status: watering, Duration: 50 s, Send startWater at: Wed Jan 24 2024 23:31:11 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:38] Type: manual, Device: MODULE_01, Output: 4, Status: done, Duration: 50 s, Send startWater at: Wed Jan 24 2024 23:31:11 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:38] Type: manual, Device: MODULE_01, Output: 3, Status: watering, Duration: 10 s, Send startWater at: Wed Jan 24 2024 23:31:14 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:38] Type: manual, Device: MODULE_01, Output: 3, Status: done, Duration: 10 s, Send startWater at: Wed Jan 24 2024 23:31:14 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:38] Type: manual, Device: MODULE_01, Output: 1, Status: watering, Duration: 100 s, Send startWater at: Wed Jan 24 2024 23:31:19 GMT+0100 (Central European Standard Time), 
[2024-01-24 23:39] Type: manual, Device: MODULE_01, Output: 1, Status: done, Duration: 100 s, Send startWater at: Wed Jan 24 2024 23:31:19 GMT+0100 (Central European Standard Time), 
