[2024-01-26 21:29] Type: manual, Device: MODULE_01, Output: 6, Status: watering, Duration: 200 s, Send startWater at: Fri Jan 26 2024 21:29:34 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:29] Type: manual, Device: MODULE_01, Output: 6, Status: stopped, 
[2024-01-26 21:30] Type: manual, Device: MODULE_01, Output: 1, Status: watering, Duration: 200 s, Send startWater at: Fri Jan 26 2024 21:30:10 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:33] Type: manual, Device: MODULE_01, Output: 1, Status: done, Duration: 200 s, Send startWater at: Fri Jan 26 2024 21:30:10 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:33] Type: manual, Device: MODULE_01, Output: 3, Status: watering, Duration: 50 s, Send startWater at: Fri Jan 26 2024 21:30:11 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:34] Type: manual, Device: MODULE_01, Output: 3, Status: done, Duration: 50 s, Send startWater at: Fri Jan 26 2024 21:30:11 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:34] Type: manual, Device: MODULE_01, Output: 4, Status: watering, Duration: 50 s, Send startWater at: Fri Jan 26 2024 21:30:12 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:35] Type: manual, Device: MODULE_01, Output: 4, Status: done, Duration: 50 s, Send startWater at: Fri Jan 26 2024 21:30:12 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:35] Type: manual, Device: MODULE_01, Output: 5, Status: watering, Duration: 200 s, Send startWater at: Fri Jan 26 2024 21:30:12 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:38] Type: manual, Device: MODULE_01, Output: 5, Status: done, Duration: 200 s, Send startWater at: Fri Jan 26 2024 21:30:12 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:38] Type: manual, Device: MODULE_01, Output: 6, Status: watering, Duration: 200 s, Send startWater at: Fri Jan 26 2024 21:30:13 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:41] Type: manual, Device: MODULE_01, Output: 6, Status: done, Duration: 200 s, Send startWater at: Fri Jan 26 2024 21:30:13 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:41] Type: manual, Device: MODULE_01, Output: 8, Status: watering, Duration: 80 s, Send startWater at: Fri Jan 26 2024 21:30:14 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:43] Type: manual, Device: MODULE_01, Output: 8, Status: done, Duration: 80 s, Send startWater at: Fri Jan 26 2024 21:30:14 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:43] Type: manual, Device: MODULE_01, Output: 9, Status: watering, Duration: 150 s, Send startWater at: Fri Jan 26 2024 21:30:15 GMT+0100 (Central European Standard Time), 
[2024-01-26 21:45] Type: manual, Device: MODULE_01, Output: 9, Status: done, Duration: 150 s, Send startWater at: Fri Jan 26 2024 21:30:15 GMT+0100 (Central European Standard Time), 
