[2025-08-09 05:45] Type: scheduled, Device: MODULE_01, Output: 3, Status: error, Duration: 160 s, Send startWater at: 2025-08-09T03:45:02.061Z, Context: {"scheduleEventId":21,"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 06:00] Type: scheduled, Device: MODULE_01, Output: 4, Status: error, Duration: 40 s, Send startWater at: 2025-08-09T04:00:02.608Z, Context: {"scheduleEventId":5,"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 06:10] Type: scheduled, Device: MODULE_01, Output: 7, Status: error, Duration: 80 s, Send startWater at: 2025-08-09T04:10:03.011Z, Context: {"scheduleEventId":12,"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 06:20] Type: scheduled, Device: MODULE_01, Output: 2, Status: error, Duration: 80 s, Send startWater at: 2025-08-09T04:20:03.433Z, Context: {"scheduleEventId":11,"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 06:30] Type: scheduled, Device: MODULE_01, Output: 9, Status: error, Duration: 120 s, Send startWater at: 2025-08-09T04:30:03.813Z, Context: {"scheduleEventId":2,"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 06:40] Type: scheduled, Device: MODULE_01, Output: 8, Status: error, Duration: 80 s, Send startWater at: 2025-08-09T04:40:04.170Z, Context: {"scheduleEventId":19,"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 07:10] Type: scheduled, Device: MODULE_01, Output: 1, Status: error, Duration: 160 s, Send startWater at: 2025-08-09T05:10:00.150Z, Context: {"scheduleEventId":20,"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 08:22] Type: manual, Device: MODULE_01, Output: 4, Status: error, Duration: 40 s, Send startWater at: Sat Aug 09 2025 08:22:13 GMT+0200 (Central European Summer Time), Context: {"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 08:25] Type: manual, Device: MODULE_00, Output: 11, Status: watering, Duration: 25 s, Send startWater at: Sat Aug 09 2025 08:25:42 GMT+0200 (Central European Summer Time), 
[2025-08-09 08:25] Type: manual, Device: MODULE_00, Output: 11, Status: stopped, 
[2025-08-09 08:27] Type: manual, Device: MODULE_01, Output: 4, Status: error, Duration: 40 s, Send startWater at: Sat Aug 09 2025 08:27:53 GMT+0200 (Central European Summer Time), Context: {"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 08:29] Type: manual, Device: MODULE_00, Output: 6, Status: watering, Duration: 50 s, Send startWater at: Sat Aug 09 2025 08:29:04 GMT+0200 (Central European Summer Time), 
[2025-08-09 08:29] Type: manual, Device: MODULE_00, Output: 6, Status: stopped, 
[2025-08-09 12:14] Type: manual, Device: MODULE_01, Output: 1, Status: stopped, 
[2025-08-09 12:14] Type: manual, Device: MODULE_01, Output: 1, Status: error, Duration: 160 s, Send startWater at: Sat Aug 09 2025 12:14:53 GMT+0200 (Central European Summer Time), Context: {"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 12:18] Type: manual, Device: MODULE_01, Output: 4, Status: error, Duration: 40 s, Send startWater at: Sat Aug 09 2025 12:18:47 GMT+0200 (Central European Summer Time), Context: {"message":"request to https://192.168.50.18/output failed, reason: connect EHOSTUNREACH 192.168.50.18:443","type":"system","errno":"EHOSTUNREACH","code":"EHOSTUNREACH"}, 
[2025-08-09 12:19] Type: manual, Device: MODULE_01, Output: 4, Status: watering, Duration: 40 s, Send startWater at: Sat Aug 09 2025 12:19:13 GMT+0200 (Central European Summer Time), 
[2025-08-09 12:19] Type: manual, Device: MODULE_01, Output: 4, Status: done, Duration: 40 s, Send startWater at: Sat Aug 09 2025 12:19:13 GMT+0200 (Central European Summer Time), 
[2025-08-09 19:10] Type: scheduled, Device: MODULE_00, Output: 4, Status: watering, Duration: 35 s, Send startWater at: 2025-08-09T17:10:03.310Z, Context: {"scheduleEventId":23}, 
[2025-08-09 19:10] Type: scheduled, Device: MODULE_00, Output: 4, Status: done, Duration: 35 s, Send startWater at: 2025-08-09T17:10:03.310Z, Context: {"scheduleEventId":23}, 
[2025-08-09 19:20] Type: scheduled, Device: MODULE_00, Output: 5, Status: watering, Duration: 25 s, Send startWater at: 2025-08-09T17:20:03.723Z, Context: {"scheduleEventId":24}, 
[2025-08-09 19:20] Type: scheduled, Device: MODULE_00, Output: 5, Status: done, Duration: 25 s, Send startWater at: 2025-08-09T17:20:03.723Z, Context: {"scheduleEventId":24}, 
[2025-08-09 19:45] Type: scheduled, Device: MODULE_01, Output: 3, Status: watering, Duration: 160 s, Send startWater at: 2025-08-09T17:45:04.554Z, Context: {"scheduleEventId":21}, 
[2025-08-09 19:47] Type: scheduled, Device: MODULE_01, Output: 3, Status: done, Duration: 160 s, Send startWater at: 2025-08-09T17:45:04.554Z, Context: {"scheduleEventId":21}, 
[2025-08-09 20:40] Type: scheduled, Device: MODULE_01, Output: 8, Status: watering, Duration: 80 s, Send startWater at: 2025-08-09T18:40:01.509Z, Context: {"scheduleEventId":19}, 
[2025-08-09 20:41] Type: scheduled, Device: MODULE_01, Output: 8, Status: done, Duration: 80 s, Send startWater at: 2025-08-09T18:40:01.509Z, Context: {"scheduleEventId":19}, 
[2025-08-09 20:45] Type: scheduled, Device: MODULE_01, Output: 5, Status: watering, Duration: 80 s, Send startWater at: 2025-08-09T18:45:01.702Z, Context: {"scheduleEventId":6}, 
[2025-08-09 20:46] Type: scheduled, Device: MODULE_01, Output: 5, Status: done, Duration: 80 s, Send startWater at: 2025-08-09T18:45:01.702Z, Context: {"scheduleEventId":6}, 
[2025-08-09 21:10] Type: scheduled, Device: MODULE_01, Output: 7, Status: watering, Duration: 80 s, Send startWater at: 2025-08-09T19:10:02.607Z, Context: {"scheduleEventId":12}, 
[2025-08-09 21:11] Type: scheduled, Device: MODULE_01, Output: 7, Status: done, Duration: 80 s, Send startWater at: 2025-08-09T19:10:02.607Z, Context: {"scheduleEventId":12}, 
[2025-08-09 21:20] Type: scheduled, Device: MODULE_01, Output: 2, Status: watering, Duration: 80 s, Send startWater at: 2025-08-09T19:20:03.026Z, Context: {"scheduleEventId":11}, 
[2025-08-09 21:21] Type: scheduled, Device: MODULE_01, Output: 2, Status: done, Duration: 80 s, Send startWater at: 2025-08-09T19:20:03.026Z, Context: {"scheduleEventId":11}, 
[2025-08-09 21:50] Type: scheduled, Device: MODULE_01, Output: 6, Status: watering, Duration: 120 s, Send startWater at: 2025-08-09T19:50:04.169Z, Context: {"scheduleEventId":7}, 
[2025-08-09 21:52] Type: scheduled, Device: MODULE_01, Output: 6, Status: done, Duration: 120 s, Send startWater at: 2025-08-09T19:50:04.169Z, Context: {"scheduleEventId":7}, 
